FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
489,0.0000,0.0000,0.0000,0.0000,0.0196,0.0196,0.0587,0.0587,0.0000,0.0000,
490,0.0000,0.0000,0.0000,0.0098,0.0000,0.0689,0.3446,0.1280,0.0689,0.0197,
491,0.0000,0.0000,0.0055,0.0110,0.0055,0.0822,0.1808,0.1863,0.0493,0.0493,
492,0.0000,0.0000,0.0000,0.0000,0.0152,0.0761,0.0913,0.0457,0.0304,0.0000,
493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0158,0.0475,0.0316,0.0000,0.0000,
494,0.0000,0.0000,0.0000,0.0000,0.0213,0.0107,0.2773,0.2026,0.0320,0.0213,
495,0.0000,0.0000,0.0042,0.0084,0.0274,0.1549,0.3424,0.2645,0.1233,0.0832,
496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0237,0.0474,0.0474,0.0712,0.0000,
497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0395,0.1184,0.0000,0.0000,
498,0.0000,0.0000,0.0000,0.0133,0.0932,0.0666,0.4129,0.3063,0.0133,0.0000,
499,0.0000,0.0037,0.0056,0.0037,0.0484,0.1934,0.3943,0.2232,0.0353,0.0223,
500,0.0000,0.0025,0.0062,0.0261,0.0398,0.1391,0.3441,0.2161,0.0261,0.0161,
501,0.0000,0.0000,0.0113,0.0000,0.1014,0.2479,0.3832,0.1352,0.0338,0.0000,
502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0907,0.0907,0.1210,0.0302,0.0000,
503,0.0000,0.0000,0.0060,0.0179,0.0359,0.0957,0.3171,0.1974,0.0419,0.0060,
504,0.0000,0.0000,0.0000,0.0593,0.0495,0.2572,0.4747,0.2572,0.0198,0.0593,
505,0.0000,0.0000,0.0000,0.0068,0.0273,0.0819,0.1365,0.1160,0.0136,0.0068,
506,0.0000,0.0000,0.0000,0.0920,0.0613,0.1533,0.7051,0.1839,0.1533,0.0000,
507,0.0000,0.0000,0.0000,0.0214,0.0043,0.0900,0.2871,0.2528,0.0343,0.0043,
508,0.0000,0.0000,0.0000,0.0000,0.0332,0.3655,0.5981,0.3655,0.0997,0.0000,
509,0.0082,0.0000,0.0041,0.0286,0.0408,0.1389,0.4166,0.2287,0.0204,0.0245,
510,0.0000,0.0000,0.0104,0.0104,0.0418,0.1045,0.3692,0.1567,0.0070,0.0104,
511,0.0000,0.0495,0.0495,0.0495,0.1980,0.2476,0.2476,0.1485,0.0495,0.0495,
512,0.0021,0.0021,0.0041,0.0185,0.0340,0.0957,0.2789,0.2223,0.0288,0.0237,
513,0.0093,0.0000,0.0069,0.0185,0.0266,0.1100,0.3845,0.2258,0.0347,0.0081,
514,0.0000,0.0000,0.0000,0.0628,0.1464,0.1883,0.5440,0.2929,0.0209,0.0418,
515,0.0000,0.0000,0.0000,0.0095,0.0380,0.0476,0.1902,0.2092,0.0095,0.0000,
516,0.0000,0.0000,0.0000,0.0756,0.0378,0.1133,0.4533,0.2267,0.1133,0.0378,
517,0.0000,0.0000,0.0000,0.0000,0.0529,0.3176,0.6352,0.3176,0.0000,0.0265,
518,0.0000,0.0000,0.0000,0.0203,0.0136,0.1221,0.3188,0.1560,0.0136,0.0203,
519,0.0000,0.0000,0.0203,0.0506,0.1621,0.2735,0.5874,0.2633,0.0608,0.0101,
520,0.0000,0.0000,0.0000,0.0000,0.2915,0.2915,0.6997,0.3110,0.0583,0.0194,
521,0.0016,0.0032,0.0048,0.0322,0.0306,0.2045,0.5395,0.2480,0.0564,0.0290,
522,0.0062,0.0000,0.0062,0.0678,0.0431,0.1540,0.5976,0.1725,0.0431,0.0123,
523,0.0000,0.0037,0.0074,0.0706,0.0557,0.1634,0.5423,0.3083,0.0353,0.0260,
524,0.0000,0.0000,0.0101,0.0406,0.1116,0.3246,0.7101,0.3906,0.0507,0.0152,
525,0.0000,0.0083,0.0299,0.0748,0.1130,0.4520,1.2448,0.7412,0.1496,0.0648,
526,0.0046,0.0046,0.0046,0.0046,0.0185,0.1158,0.3567,0.1621,0.0185,0.0185,
